,Bishan,CBD,Tiong Bahru,Paya Lebar,Tampines,CCK,Woodlands,Punggol,Buona,Tuas,Town,Jurong,Serangoon,Toa Payoh,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-01 05:05:00,672,8,391,733,1068,1099,1549,1088,454,696,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:10:00,672,8,391,733,1068,1099,1549,1088,454,696,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:15:00,672,8,391,733,1068,1099,1549,1088,454,696,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:20:00,672,8,391,733,1068,1099,1549,1088,454,696,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:25:00,672,8,391,733,1068,1099,1549,1088,454,696,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:30:00,672,8,391,733,1068,1099,1549,1088,454,696,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:35:00,672,8,391,733,1068,1099,1549,1088,454,696,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:40:00,672,8,391,733,1064,1099,1549,1088,454,691,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-01 05:45:00,672,8,391,733,1064,1099,1549,1088,454,691,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-01 05:50:00,672,8,391,737,1064,1099,1549,1084,454,686,132,609,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:55:00,672,8,391,732,1060,1099,1549,1084,454,680,132,614,1031,470,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,4,0,0
2020-01-01 06:00:00,672,8,391,731,1053,1094,1549,1084,454,680,132,610,1040,470,0,0,0,0,0,0,0,0,0,5,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0
2020-01-01 06:05:00,682,7,391,734,1053,1094,1549,1081,454,668,132,614,1034,467,0,0,0,0,0,0,0,0,0,5,0,0,0,18,5,0,0,0,0,3,0,0,0,1,0,1,0,0,0,7,0,0
2020-01-01 06:10:00,680,7,391,736,1049,1083,1554,1068,458,659,133,615,1032,467,0,0,0,0,0,0,5,0,0,11,0,0,0,21,6,0,0,0,0,16,0,0,0,0,0,5,0,0,0,4,0,0
2020-01-01 06:15:00,678,6,390,728,1025,1071,1544,1068,453,659,132,604,1038,467,0,0,0,10,0,0,9,6,0,23,0,0,0,21,16,0,1,0,0,13,0,1,0,1,0,8,0,0,0,28,0,0
2020-01-01 06:20:00,684,5,390,730,1025,1070,1549,1063,456,644,133,614,1051,467,0,0,0,11,0,0,12,8,5,13,0,0,0,24,13,0,1,0,0,5,0,0,0,1,0,2,0,0,0,24,0,0
2020-01-01 06:25:00,706,4,387,750,1018,1047,1535,1039,458,637,132,611,1031,461,0,0,0,28,0,0,18,14,14,24,0,0,0,22,14,3,2,0,0,29,0,2,0,1,0,4,0,0,0,7,0,2
2020-01-01 06:30:00,689,4,377,726,993,1036,1505,1033,459,637,125,598,1033,463,0,0,15,59,0,0,22,22,9,35,4,0,0,22,25,3,9,0,0,30,0,4,4,0,0,24,0,0,0,32,0,3
2020-01-01 06:35:00,711,7,371,724,990,1034,1518,1031,470,617,122,612,1073,458,0,0,23,55,0,0,22,21,4,14,13,0,0,27,17,3,14,0,0,8,0,3,0,1,0,9,0,0,0,28,0,0
2020-01-01 06:40:00,735,5,366,740,989,1009,1484,1002,460,610,121,600,1061,452,0,0,28,92,0,0,29,35,12,17,19,6,0,27,21,13,16,0,0,31,0,2,0,0,0,9,2,0,0,4,0,3
2020-01-01 06:45:00,717,4,353,709,954,988,1447,988,456,610,114,594,1045,447,0,0,58,131,0,0,34,42,8,30,20,8,0,27,33,14,27,4,0,43,0,5,2,0,14,34,3,0,0,36,0,1
2020-01-01 06:50:00,726,5,350,710,950,992,1461,982,468,591,112,619,1106,444,0,0,58,122,0,0,34,40,8,16,19,3,9,26,21,13,23,7,0,20,0,2,0,0,6,16,2,0,0,39,0,0
2020-01-01 06:55:00,742,4,349,732,945,960,1418,940,453,588,112,599,1093,433,0,8,64,159,0,0,40,56,37,24,20,19,14,22,23,23,17,8,13,48,0,0,0,0,5,8,2,1,11,9,0,1
2020-01-01 07:00:00,736,3,331,694,926,952,1371,929,437,588,106,589,1057,426,0,0,102,199,0,0,45,59,37,35,16,23,19,22,36,21,27,15,25,53,0,5,1,0,17,40,2,2,18,24,6,6
2020-01-01 07:05:00,725,4,331,694,935,985,1381,934,453,579,105,607,1106,428,0,0,122,199,0,0,51,55,18,14,17,6,25,21,28,16,25,13,24,32,1,1,0,1,10,16,1,1,14,21,1,0
2020-01-01 07:10:00,728,4,332,698,937,955,1338,923,441,584,106,581,1059,423,0,9,142,230,0,0,49,71,29,30,27,19,28,18,25,30,23,11,46,42,1,1,0,0,9,15,1,0,24,7,2,2
2020-01-01 07:15:00,710,3,330,672,931,952,1324,918,433,589,102,579,1029,420,0,0,170,249,0,0,55,78,22,35,22,23,30,18,26,33,26,12,45,48,1,3,2,1,29,27,1,2,25,18,5,2
2020-01-01 07:20:00,695,5,341,690,948,978,1350,937,439,588,101,609,1059,421,0,0,196,242,0,0,49,86,6,8,17,9,30,16,16,22,14,7,28,29,0,3,0,0,17,9,0,3,15,13,3,1
2020-01-01 07:25:00,695,6,346,698,951,959,1327,942,432,596,100,588,1040,426,0,0,204,256,0,0,51,84,26,19,19,24,35,16,12,25,4,9,38,23,0,1,0,0,11,9,1,1,20,5,1,0
2020-01-01 07:30:00,682,5,345,683,949,957,1312,945,436,601,96,582,1002,425,0,0,225,268,0,0,44,79,29,26,10,30,40,18,11,22,4,11,41,21,1,1,3,1,33,14,2,3,22,14,5,2
2020-01-01 07:35:00,671,7,352,708,955,996,1329,967,436,579,97,604,1003,432,0,0,238,269,0,0,42,63,9,12,1,11,40,39,6,19,1,14,27,13,1,1,0,1,13,4,1,3,19,16,1,0
2020-01-01 07:40:00,655,8,355,707,958,976,1327,972,440,517,97,586,996,435,0,0,248,269,0,0,28,56,13,27,13,13,36,114,7,25,1,16,34,11,3,2,0,1,5,8,1,0,26,13,1,0
2020-01-01 07:45:00,660,5,358,702,964,972,1346,980,433,452,100,584,987,437,0,0,239,263,0,0,27,41,10,30,14,17,31,191,7,22,1,13,32,11,0,1,0,2,18,8,2,0,25,10,3,2
2020-01-01 07:50:00,660,4,364,712,966,982,1363,998,441,393,102,599,993,439,0,0,244,263,0,0,21,23,6,18,2,7,27,258,7,15,0,10,17,8,2,0,0,0,12,8,2,1,15,18,0,0
2020-01-01 07:55:00,659,3,369,716,937,933,1368,1008,452,354,104,575,999,436,0,0,245,263,0,0,6,12,8,65,1,2,17,311,35,11,0,6,19,4,1,0,0,1,6,8,1,1,11,52,1,0
2020-01-01 08:00:00,670,4,374,725,908,838,1378,1002,452,329,105,502,998,435,0,0,245,259,0,0,7,4,2,157,0,0,13,343,107,11,0,2,22,13,0,1,0,0,4,5,0,0,12,73,0,0
2020-01-01 08:05:00,672,4,373,718,887,712,1356,980,447,323,103,425,990,436,0,0,245,272,0,0,14,8,0,285,0,0,8,355,188,8,2,1,16,47,0,2,0,0,6,13,0,0,12,92,0,0
2020-01-01 08:10:00,685,4,357,706,828,607,1265,948,452,323,99,368,1004,438,0,0,231,350,0,0,26,31,3,390,0,0,4,359,221,4,18,1,13,76,0,4,0,0,4,40,0,0,7,134,0,0
2020-01-01 08:15:00,694,4,305,683,749,534,1051,931,376,320,91,335,1034,440,0,0,231,539,0,0,39,106,30,452,1,0,1,344,277,3,71,0,11,88,0,8,0,0,2,36,0,0,3,211,0,0
2020-01-01 08:20:00,725,4,254,649,692,487,820,843,315,301,82,311,1005,434,0,17,220,733,0,0,61,170,82,489,7,0,0,356,311,1,120,0,9,160,0,8,1,0,1,57,0,0,3,270,0,2
