,Bishan,CCK,Tampines,Woodlands,Tiong Bahru,Tuas,CBD,Punggol,Paya Lebar,Toa Payoh,Buona,Serangoon,Jurong,Town,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona,Tiong Bahru->CBD,CBD->Tiong Bahru
2020-01-01 05:05:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:10:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:15:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:20:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:25:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:30:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:35:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:40:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:45:00,694,1097,1074,1555,387,701,9,1064,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:50:00,694,1097,1070,1555,387,693,9,1061,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2020-01-01 05:55:00,694,1097,1070,1555,387,693,9,1061,736,466,444,1028,608,137,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2020-01-01 06:00:00,694,1092,1065,1555,387,693,9,1061,740,466,444,1031,608,137,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2020-01-01 06:05:00,700,1092,1062,1555,387,673,9,1058,735,463,444,1028,616,137,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,8,0,0,0,0
2020-01-01 06:10:00,698,1082,1060,1560,387,670,9,1046,739,463,444,1027,609,136,0,0,0,0,0,0,3,0,0,10,0,0,0,23,7,0,0,0,0,15,0,0,1,0,0,0,0,6,0,5,0,0,0,0
2020-01-01 06:15:00,696,1069,1044,1551,386,668,15,1046,737,463,444,1030,607,136,0,0,0,9,0,0,5,0,0,22,1,0,0,25,9,0,1,0,0,12,0,0,0,0,0,4,0,2,0,18,0,0,0,0
2020-01-01 06:20:00,701,1069,1040,1553,389,648,13,1041,733,462,451,1041,626,136,0,0,0,11,0,0,6,0,6,12,1,0,0,25,3,0,1,0,0,5,0,0,0,0,0,2,0,5,0,20,0,0,0,0
2020-01-01 06:25:00,720,1050,1035,1538,388,646,11,1018,744,459,440,1023,606,136,0,0,0,29,0,0,10,5,15,19,0,0,0,24,25,2,1,0,0,28,0,0,0,0,0,1,0,8,0,9,6,4,0,0
2020-01-01 06:30:00,705,1041,1015,1510,384,646,13,1012,729,459,445,1024,600,130,0,0,14,57,0,0,13,8,9,29,5,0,0,22,32,2,8,0,0,29,0,2,4,0,0,18,0,5,0,25,0,5,0,0
2020-01-01 06:35:00,718,1040,1006,1521,382,619,21,1009,725,455,471,1059,616,127,0,0,20,52,0,0,14,8,4,12,13,0,0,29,14,4,7,0,0,9,0,2,1,0,0,4,0,6,0,29,1,2,0,0
2020-01-01 06:40:00,744,1014,999,1489,379,616,17,978,739,449,450,1042,595,126,0,0,26,84,0,0,18,25,12,17,19,7,0,30,27,13,8,0,0,34,0,0,1,0,0,2,3,9,0,16,6,6,0,0
2020-01-01 06:45:00,747,995,973,1451,369,616,20,965,721,442,450,1024,593,120,0,0,56,106,0,0,21,27,8,29,20,8,0,30,34,14,21,4,0,44,1,3,3,0,8,25,5,6,0,33,4,4,0,0
2020-01-01 06:50:00,752,998,972,1464,364,592,29,958,721,437,465,1092,627,118,0,0,58,84,0,0,22,28,10,14,21,1,8,27,18,13,14,5,0,20,0,2,1,0,5,12,6,8,0,27,4,3,0,0
2020-01-01 06:55:00,764,963,957,1415,366,590,24,915,730,427,444,1082,597,117,0,0,63,120,0,0,24,47,39,23,25,16,15,26,29,24,14,6,19,50,0,0,1,0,3,7,10,14,9,16,5,4,0,0
2020-01-01 07:00:00,778,957,938,1380,348,590,24,905,695,421,433,1047,588,111,0,0,98,121,0,0,33,40,35,34,18,22,19,26,43,21,25,7,31,53,0,3,3,1,25,32,12,13,15,34,10,11,0,0
2020-01-01 07:05:00,775,986,946,1415,357,579,30,915,716,426,456,1124,616,112,0,0,94,87,0,0,31,39,18,14,18,9,22,21,30,15,13,7,24,19,1,0,0,0,11,14,10,10,12,20,3,5,0,0
2020-01-01 07:10:00,781,960,947,1379,353,586,27,903,717,424,439,1080,583,112,0,0,95,115,0,0,29,50,41,26,28,24,24,19,26,31,13,9,52,33,1,0,1,2,8,5,9,15,26,6,12,9,0,0
2020-01-01 07:15:00,791,961,940,1362,359,590,25,898,690,423,432,1031,580,110,0,0,131,97,0,0,32,42,38,31,21,25,26,19,31,33,16,11,66,41,3,2,3,0,26,25,9,14,31,18,9,8,0,0
2020-01-01 07:20:00,770,1001,959,1414,351,585,43,933,705,429,445,1088,607,109,0,0,115,67,0,0,23,36,16,9,15,7,35,16,21,25,4,14,40,22,2,3,1,0,16,6,10,7,23,14,7,7,0,0
