,Bishan,Buona,Tampines,Woodlands,CBD,Toa Payoh,Punggol,Jurong,Tuas,Serangoon,Tiong Bahru,Paya Lebar,Town,CCK,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-01 05:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:45:00,678,453,1082,1533,9,468,1081,605,692,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-01 05:55:00,678,453,1078,1533,9,468,1077,610,680,1024,395,735,136,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,4,0,0
2020-01-01 06:05:00,688,453,1071,1533,8,466,1074,610,666,1027,395,737,136,1093,0,0,0,0,0,0,0,0,0,5,0,0,0,21,5,0,0,0,0,3,0,0,0,1,0,1,0,0,0,7,0,0
2020-01-01 06:15:00,684,452,1045,1527,7,466,1062,601,655,1031,394,730,136,1069,0,0,0,11,0,0,9,6,0,24,0,0,0,25,16,0,1,0,0,12,0,1,0,1,0,9,0,0,0,26,0,0
2020-01-01 06:25:00,713,458,1036,1518,5,460,1034,608,633,1023,391,751,137,1047,0,0,0,29,0,0,18,13,15,22,0,0,0,22,18,3,2,0,0,28,0,2,0,0,0,3,0,0,0,9,0,2
2020-01-01 06:35:00,715,472,1005,1499,8,459,1025,606,610,1061,375,729,127,1038,0,0,24,56,0,0,23,22,3,14,10,0,0,30,20,3,14,0,0,9,0,3,0,0,0,9,0,0,0,31,0,0
2020-01-01 06:45:00,738,458,969,1432,5,448,980,585,604,1034,360,716,117,991,0,0,56,112,0,0,39,48,7,30,20,8,0,29,33,12,26,6,0,45,0,6,2,0,10,35,3,0,0,36,0,0
2020-01-01 06:55:00,767,455,958,1399,5,432,933,592,583,1107,355,733,116,962,0,0,57,124,0,0,49,60,37,23,21,16,14,21,24,24,16,10,21,47,0,0,0,0,6,9,2,1,9,11,0,1
2020-01-01 07:05:00,784,458,945,1391,5,428,934,605,574,1148,339,710,110,987,0,0,93,91,0,0,48,54,22,13,15,7,22,19,28,18,25,10,20,20,1,0,0,1,18,18,1,1,13,22,1,1
2020-01-01 07:15:00,791,445,941,1340,4,431,914,576,583,1051,334,692,108,970,0,0,129,95,0,0,48,59,35,26,20,20,33,18,23,29,27,17,65,40,2,2,2,1,39,27,1,1,34,17,7,3
2020-01-01 07:25:00,740,440,970,1371,6,444,967,582,592,1102,349,718,109,984,0,0,108,75,0,0,41,48,42,21,20,22,37,15,11,35,5,17,52,12,1,1,0,0,13,10,1,2,30,5,2,0
2020-01-01 07:35:00,729,440,984,1418,9,448,1005,612,579,1062,361,740,106,1038,0,0,90,36,0,0,28,26,20,9,1,14,34,37,5,23,1,16,42,14,2,1,0,2,21,4,1,1,23,16,2,0
2020-01-01 07:45:00,693,438,996,1437,6,459,1036,597,436,1027,368,740,108,1025,0,0,60,15,0,0,18,12,37,30,17,16,35,198,4,19,1,12,58,11,3,1,0,0,23,9,3,2,35,11,2,2
2020-01-01 07:55:00,687,446,977,1497,5,460,1090,688,350,1030,380,753,115,1015,0,0,22,0,0,0,8,2,13,63,0,1,20,190,53,8,0,4,27,4,1,0,0,2,7,7,0,0,20,54,1,0
2020-01-01 08:05:00,685,496,931,1546,5,463,1070,558,324,1022,381,790,115,790,0,0,5,22,0,0,14,6,9,239,0,0,6,91,277,4,2,2,7,47,0,3,0,0,1,13,0,0,10,66,0,0
2020-01-01 08:15:00,701,584,792,1372,5,463,1007,401,320,1103,314,752,103,614,0,0,0,415,0,0,38,195,25,184,1,0,1,25,236,1,71,0,1,70,0,8,0,0,1,45,0,0,3,149,0,0
2020-01-01 08:25:00,859,491,670,916,5,442,749,311,281,1070,219,770,87,547,0,0,0,912,0,0,133,526,121,59,33,0,1,46,110,6,162,0,0,259,0,6,1,1,0,80,0,1,0,125,0,1
