,Town,Woodlands,Paya Lebar,Jurong,Tiong Bahru,Toa Payoh,Buona,CCK,Tampines,Tuas,Punggol,Serangoon,CBD,Bishan,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-01 05:05:00,136,1546,737,608,393,475,455,1104,1079,705,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:10:00,136,1546,737,608,393,475,455,1104,1079,705,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:15:00,136,1546,737,608,393,475,455,1104,1079,705,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:20:00,136,1546,737,608,393,475,455,1104,1079,705,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:25:00,136,1546,737,608,393,475,455,1104,1079,705,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:30:00,136,1546,737,608,393,475,455,1104,1079,705,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:35:00,136,1546,737,608,393,475,455,1104,1079,705,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:40:00,136,1546,737,608,393,475,455,1104,1075,701,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-01 05:45:00,136,1546,737,608,393,475,455,1104,1075,701,1072,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-01 05:50:00,136,1546,741,608,393,475,455,1104,1075,696,1068,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:55:00,135,1546,736,612,393,475,455,1104,1071,690,1068,1009,8,673,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,4,0,0
2020-01-01 06:00:00,135,1546,735,609,393,476,455,1099,1064,689,1068,1018,8,673,0,0,0,0,0,0,0,0,0,5,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0
2020-01-01 06:05:00,135,1546,738,613,393,473,455,1099,1064,676,1065,1012,8,683,0,0,0,0,0,0,0,0,0,5,0,0,0,20,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,7,0,0
2020-01-01 06:10:00,135,1551,740,614,393,473,458,1088,1060,665,1053,1010,8,681,0,0,0,0,0,0,5,0,0,11,0,0,0,25,6,0,0,0,0,15,0,0,0,0,0,5,0,0,0,4,0,0
2020-01-01 06:15:00,135,1541,731,605,392,473,453,1077,1037,665,1053,1016,7,679,0,0,0,10,0,0,9,6,0,22,0,0,0,24,15,0,1,0,0,12,0,0,0,1,0,9,0,0,0,27,0,0
2020-01-01 06:20:00,136,1545,733,615,392,472,457,1077,1037,652,1048,1029,6,685,0,0,0,11,0,0,12,7,6,11,0,0,0,24,13,0,1,0,0,5,0,0,0,1,0,2,0,0,0,23,0,0
2020-01-01 06:25:00,135,1530,751,611,389,468,458,1055,1030,645,1028,1008,5,706,0,0,0,28,0,0,18,13,15,22,0,0,0,20,18,3,2,0,0,25,0,2,0,1,0,5,0,0,0,7,0,2
2020-01-01 06:30:00,127,1501,730,597,379,470,459,1044,1006,644,1020,1011,5,690,0,0,15,57,0,0,21,22,9,35,4,0,0,21,29,3,9,0,0,28,0,5,4,0,0,21,0,0,0,31,0,3
2020-01-01 06:35:00,125,1515,727,608,373,467,473,1044,1001,624,1017,1043,8,712,0,0,19,51,0,0,25,20,4,15,11,0,0,28,19,4,14,0,0,11,0,2,0,1,0,10,0,0,0,29,0,0
2020-01-01 06:40:00,125,1484,742,599,368,460,464,1019,1000,617,989,1038,6,732,0,0,24,86,0,0,31,36,12,17,17,7,0,28,18,13,16,0,0,31,0,1,0,0,0,9,2,0,0,6,0,3
2020-01-01 06:45:00,117,1447,712,591,356,453,460,998,967,617,972,1019,5,735,0,0,53,108,0,0,37,45,8,29,21,8,0,27,32,12,26,6,0,45,0,6,2,0,13,35,3,0,0,34,0,1
2020-01-01 06:50:00,115,1459,712,616,353,450,466,1000,964,595,969,1090,6,752,0,0,53,88,0,0,37,43,9,16,22,2,9,29,23,12,22,7,0,20,0,2,0,0,5,16,2,0,0,36,0,0
2020-01-01 06:55:00,115,1409,732,597,352,440,458,966,958,593,926,1091,5,761,0,0,61,124,0,0,39,59,37,25,23,16,14,24,24,24,16,7,21,46,0,0,0,0,6,8,2,0,11,9,0,1
2020-01-01 07:00:00,109,1374,694,589,334,431,440,958,937,593,914,1046,4,773,0,0,94,123,0,0,52,59,35,36,17,21,16,24,40,24,27,12,37,55,1,6,0,0,26,40,2,2,17,27,6,5
2020-01-01 07:05:00,109,1405,703,612,338,440,458,988,947,585,929,1118,3,779,0,0,89,93,0,0,52,53,19,16,15,8,23,19,28,18,23,11,25,18,0,0,1,1,17,16,1,2,14,22,1,1
2020-01-01 07:10:00,109,1372,716,585,336,441,447,960,948,590,923,1079,6,784,0,0,94,119,0,0,50,65,38,27,27,19,29,17,23,28,23,12,44,28,2,1,0,0,15,9,0,0,25,6,2,1
2020-01-01 07:15:00,106,1356,692,575,333,438,435,961,944,592,915,1029,4,791,0,0,130,100,0,0,54,59,36,31,23,24,35,17,29,31,25,18,56,39,3,3,2,1,30,25,1,2,30,17,5,3
2020-01-01 07:20:00,107,1405,705,603,342,443,455,990,961,591,945,1077,6,773,0,0,123,71,0,0,37,49,17,10,17,11,37,17,17,22,13,16,33,22,3,3,0,0,26,10,1,2,25,12,3,0
2020-01-01 07:25:00,109,1380,722,584,350,451,450,981,970,602,959,1082,7,732,0,0,114,81,0,0,36,47,44,22,18,22,37,17,11,31,6,17,49,12,1,1,0,0,13,10,1,0,24,4,3,0
2020-01-01 07:30:00,106,1380,700,583,352,448,435,983,974,608,962,1034,5,752,0,0,114,57,0,0,35,35,49,26,9,25,40,19,12,35,4,20,62,16,3,1,3,1,46,16,2,2,29,12,3,2
2020-01-01 07:35:00,109,1437,736,611,361,457,447,1034,979,592,995,1047,7,729,0,0,75,38,0,0,30,24,20,11,2,12,33,36,5,22,2,18,46,13,0,1,0,1,19,3,1,3,28,15,1,0
2020-01-01 07:40:00,107,1448,736,597,365,464,436,1016,987,518,1013,1037,7,696,0,0,56,32,0,0,27,18,35,27,14,17,35,121,6,23,1,18,48,11,1,2,1,0,18,6,2,2,32,16,4,0
