,Serangoon,Tuas,CBD,Buona,Paya Lebar,CCK,Jurong,Tampines,Town,Punggol,Woodlands,Tiong Bahru,Bishan,Toa Payoh,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-01 05:05:00,1021,703,9,450,731,1103,613,1075,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:10:00,1021,703,9,450,731,1103,613,1075,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:15:00,1021,703,9,450,731,1103,613,1075,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:20:00,1021,703,9,450,731,1103,613,1075,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:25:00,1021,703,9,450,731,1103,613,1075,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:30:00,1021,703,9,450,731,1103,613,1075,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:35:00,1021,703,9,450,731,1103,613,1075,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:40:00,1021,698,9,450,731,1103,613,1073,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-01-01 05:45:00,1021,698,9,450,731,1103,613,1073,133,1074,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-01-01 05:50:00,1021,693,9,450,733,1103,613,1073,133,1070,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:55:00,1021,686,9,450,731,1103,618,1069,132,1070,1550,392,675,471,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,4,0,0
2020-01-01 06:00:00,1027,686,9,450,730,1098,614,1062,132,1070,1550,392,675,472,0,0,0,0,0,0,0,0,0,5,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0
